名称,大类,中类,经度,纬度,省份,城市,区域
史家寨,交通设施,公交站,114.274175,38.925339,河北省,保定市,阜平县
杨家湾,交通设施,公交站,114.325055,38.924055,河北省,保定市,阜平县
押车口,交通设施,公交站,114.333123,38.953259,河北省,保定市,阜平县
东岗上,交通设施,公交站,114.350518,38.963527,河北省,保定市,阜平县
桃源,交通设施,公交站,114.371761,38.974979000000005,河北省,保定市,阜平县
河滩,交通设施,公交站,114.327019,38.932294000000006,河北省,保定市,阜平县
大台村,交通设施,公交站,114.382563,38.984738,河北省,保定市,阜平县
炭灰铺旅游景区,旅游景点,景点,114.408742,39.012422,河北省,保定市,阜平县
大台客运站,交通设施,长途汽车,114.380403,38.982675,河北省,保定市,阜平县
元帅门,旅游景点,其他,114.26288,38.930202,河北省,保定市,阜平县
春光餐馆,餐饮美食,中国菜,114.27416,38.928743,河北省,保定市,阜平县
台铃电动车,购物消费,其他,114.327393,38.934582,河北省,保定市,阜平县
史家寨邮政所,生活服务,邮局,114.273035,38.926339,河北省,保定市,阜平县
36号院家常菜馆,餐饮美食,中国菜,114.268542,38.928749,河北省,保定市,阜平县
中国联通营业厅,生活服务,电讯营业厅,114.274249,38.923876,河北省,保定市,阜平县
新奥小学,科教文化,小学,114.374867,38.978412,河北省,保定市,阜平县
东海餐馆,餐饮美食,中国菜,114.273825,38.928629,河北省,保定市,阜平县
红土山餐馆,餐饮美食,中国菜,114.286137,38.946157,河北省,保定市,阜平县
民乡菜餐馆,餐饮美食,中国菜,114.273921,38.925182,河北省,保定市,阜平县
古恒山饭店,餐饮美食,其他,114.359044,38.972074,河北省,保定市,阜平县
范台小学,科教文化,小学,114.419855,39.120308,河北省,保定市,涞源县
狼牙口小学,科教文化,小学,114.393921,39.119888,河北省,保定市,涞源县
台铃电动车,购物消费,其他,114.273772,38.928331,河北省,保定市,阜平县
大台乡成人学堂,科教文化,成人教育,114.320272,38.944067,河北省,保定市,阜平县
小玉超级市场,购物消费,便利店,114.327369,38.93529,河北省,保定市,阜平县
金星超级市场,购物消费,便利店,114.380806,38.982647,河北省,保定市,阜平县
古道小学,科教文化,小学,114.370728,39.096453,河北省,保定市,涞源县
河北阜平中技中学,科教文化,中学,114.32027,38.944126,河北省,保定市,阜平县
谢台小学,科教文化,小学,114.447294,39.109132,河北省,保定市,涞源县
大台乡大连地村卫生院,医疗保健,诊所,114.327554,38.943123,河北省,保定市,阜平县
玉芳超级市场,购物消费,便利店,114.273845,38.92822,河北省,保定市,阜平县
大台客运站候车室,汽车相关,其他,114.38062,38.982841,河北省,保定市,阜平县
华北联合大学文化聚落接待服务中心,科教文化,其他,114.453221,38.930396,河北省,保定市,阜平县
恒昌肉牛饲养场,公司企业,农林牧渔,114.379194,38.975496,河北省,保定市,阜平县
大台客运站,交通设施,长途汽车,114.380739,38.982701,河北省,保定市,阜平县
大台乡京台小学,科教文化,小学,114.37501,38.978493,河北省,保定市,阜平县
古恒山油站,汽车相关,加油站,114.358433,38.971955,河北省,保定市,阜平县
狼牙口卫生院,医疗保健,诊所,114.394102,39.118968,河北省,保定市,涞源县
大台供销社金融超级市场,金融机构,其他,114.380541,38.982699,河北省,保定市,阜平县
农村信用合作联社ATM,金融机构,ATM,114.325835,38.926431,河北省,保定市,阜平县
红泽畜牧养殖农业合作社,公司企业,农林牧渔,114.456777,39.100145,河北省,保定市,涞源县
好福来超级市场,购物消费,便利店,114.327463,38.935367,河北省,保定市,阜平县
史家寨学堂,科教文化,其他,114.272907,38.928693,河北省,保定市,阜平县
百川农业开发有限责任公司,公司企业,公司,114.367733,39.014803,河北省,保定市,阜平县
大台中学,科教文化,其他,114.37896,38.9825,河北省,保定市,阜平县
新希望猪厂,公司企业,农林牧渔,114.416855,38.969133,河北省,保定市,阜平县
丰泰食品加工公司,公司企业,公司,114.273125,38.925956,河北省,保定市,阜平县
砂窝,交通设施,公交站,114.049261,38.998866,河北省,保定市,阜平县
石滩地,交通设施,公交站,114.039728,39.08162,河北省,保定市,阜平县
泉子口,交通设施,公交站,114.040138,39.061097,河北省,保定市,阜平县
祭台,交通设施,公交站,114.035083,39.070772,河北省,保定市,阜平县
吴王口,交通设施,公交站,114.028312,39.043646,河北省,保定市,阜平县
河彩,交通设施,公交站,114.034662,39.018465,河北省,保定市,阜平县
西边台,交通设施,公交站,114.059077,38.954091,河北省,保定市,阜平县
中国石化保定阜平龙王庄油站,汽车相关,加油站,114.058395,38.982832,河北省,保定市,阜平县
九州油站,汽车相关,加油站,114.046877,39.015549,河北省,保定市,阜平县
仙人寺庙,旅游景点,宗教,113.94753,39.015774,河北省,保定市,阜平县
不老台油站,汽车相关,加油站,113.985396,39.073518,河北省,保定市,阜平县
石化服务站 桃源坪加油站,汽车相关,加油站,114.033192,39.025956,河北省,保定市,阜平县
中国移动营业厅,生活服务,电讯营业厅,114.05011,38.997466,河北省,保定市,阜平县
砂窝酒店,酒店住宿,其他,114.050325,38.99592500000001,河北省,保定市,阜平县
欣欣超市,购物消费,便利店,114.050326,38.997177,河北省,保定市,阜平县
老爷寺庙,旅游景点,其他,113.877638,39.002961,河北省,保定市,阜平县
鸿雁居茂源农家院,休闲娱乐,其他,114.050564,38.995089,河北省,保定市,阜平县
中国邮政,生活服务,邮局,114.050566,38.99569,河北省,保定市,阜平县
砂窝地方小吃店,餐饮美食,中国菜,114.05057,38.996475,河北省,保定市,阜平县
小利餐馆,餐饮美食,中国菜,114.024352,39.043,河北省,保定市,阜平县
锦绣城饭店,餐饮美食,中国菜,113.956423,39.095906,河北省,保定市,阜平县
吴王口邮政所,生活服务,邮局,114.02288,39.043682,河北省,保定市,阜平县
砂窝中学,科教文化,中学,114.050507,39.000584,河北省,保定市,阜平县
中国联通营业厅,生活服务,电讯营业厅,114.050472,38.996185,河北省,保定市,阜平县
弘园小吃,餐饮美食,中国菜,114.050184,38.99745,河北省,保定市,阜平县
聚缘餐馆,餐饮美食,中国菜,114.050046,38.995175,河北省,保定市,阜平县
阜平千峰山景区,旅游景点,其他,113.89236,38.951296000000006,河北省,保定市,阜平县
志军家电专卖店,购物消费,家电数码,114.050289,38.996416,河北省,保定市,阜平县
农村信用合作联社,金融机构,银行,114.050218,38.996972,河北省,保定市,阜平县
农家菜馆饭店,餐饮美食,中国菜,113.957403,39.095619,河北省,保定市,阜平县
饺子店,餐饮美食,中国菜,114.050227,38.996783,河北省,保定市,阜平县
秀秀煎饼果子小吃,餐饮美食,其他,114.049941,38.997867,河北省,保定市,阜平县
阜平农信农业合作社,金融机构,银行,114.050454,38.996911,河北省,保定市,阜平县
驴香斋,餐饮美食,其他,114.050463,38.995968,河北省,保定市,阜平县
时代商厦,购物消费,百货商场,114.05053,38.996826,河北省,保定市,阜平县
台楼湾,休闲娱乐,农家乐,113.975539,38.957987,河北省,保定市,阜平县
职教中心吴王口分校,科教文化,职业技术教育,114.027356,39.044469,河北省,保定市,阜平县
日杂五金商行,购物消费,家居建材,114.050336,38.997154,河北省,保定市,阜平县
丰溢鑫,购物消费,其他,114.031621,39.033678,河北省,保定市,阜平县
砂窝快递超级市场,购物消费,超市,114.050143,38.99476,河北省,保定市,阜平县
砂窝镇农牧业运营服务站,购物消费,其他,114.050415,38.997919,河北省,保定市,阜平县
桃园坪门市部,购物消费,便利店,114.03856,39.026239,河北省,保定市,阜平县
车辆保险咨询处,金融机构,其他,114.050661,38.997692,河北省,保定市,阜平县